poem小韵号	nk2028字头	unt修改后编码	切韵拼音
380	𨌴	FSI	thoj
381	𢆃	HSI	noj
382	嗺	NSI	tsoj
383	咍	iTA	heoj
384	開	eTA	kheoj
385	哀	hTA	qeoj
386	臺	GTA	deoj
387	該	dTA	keoj
388	裁	PTA	dzeoj
389	來	ITA	leoj
390	烖	NTA	tseoj
391	猜	OTA	tsheoj
392	𤗏	CSA	boj
393	胎	FTA	theoj
394	孩	jTA	gheoj
395	鰓	QTA	seoj
396	皚	gTA	ngeoj
397	能	HTA	neoj
398	𪒴	ETA	teoj
399	㹗	YyA	tjhu
400	𡜊	BSA	phoj
401	真	XVA	tjin
402	𤣆	KVA	trhin
403	因	hVA	qin
404	新	QVA	sin
405	辰	ZVA	djin
406	仁	cVA	njin
407	神	bVA	zjin
408	親	OVA	tshin
409	礥	jgA	ghen
410	申	aVA	sjin
411	賓	AVA	pin
412	㷠	IVA	lin
413	𥎊	fVE	gyin
414	珍	JVA	trin
415	陳	LVA	drin
416	津	NVA	tsin
417	瞋	YVA	tjhin
418	秦	PVA	dzin
419	寅	lVA	jin
420	紉	MVA	nrin
421	繽	BVA	phin
422	頻	CVA	bin
423	銀	gVE	ngyin
424	巾	dVE	kyin
425	麏	dVM	kuin
426	筠	kVI	uin
427	囷	eVM	khuin
428	珉	DVE	myin
429	貧	CVE	byin
430	𪔗	hVE	qyin
431	贇	hVM	quin
432	彬	AVE	pyin
433	民	DVA	min
434	諄	XVI	tjwin
435	椿	KVI	trhwin
436	䣩	LVI	drwin
437	荀	QVI	swin
438	純	ZVI	djwin
439	犉	cVI	njwin
440	脣	bVI	zjwin
441	淪	IVI	lwin
442	屯	JVI	trwin
443	逡	OVI	tshwin
444	遵	NVI	tswin
445	春	YVI	tjhwin
446	鷷	PVI	dzwin
447	勻	lVI	jwin
448	旬	RVI	zwin
449	均	dVI	kwin
450	𧼒	fVA	gin
451	砏	BVE	phyin
452	臻	SWA	tsryin
453	莘	VWA	sryin
454	𦿒	UWA	dzryin
455	文	DXA	mun
456	雲	kXI	un
457	熅	hXI	qun
458	汾	CXA	bun
459	分	AXA	pun
460	羣	fXI	gun
461	薰	iXI	hun
462	君	dXI	kun
463	芬	BXA	phun
464	欣	iYA	hyn
465	殷	hYA	qyn
466	勤	fYA	gyn
467	斤	dYA	kyn
468	䖐	gYA	ngyn
469	元	gZI	nguon
470	袁	kZI	uon
471	煩	CZA	buon
472	飜	BZA	phuon
473	暄	iZI	huon
474	鴛	hZI	quon
475	言	gZA	ngyon
476	攑	eZA	khyon
477	軒	iZA	hyon
478	𢳚	dZA	kyon
479	蔫	hZA	qyon
480	蕃	AZA	puon
481	𥴤	fZA	gyon
482	樠	DZA	muon
483	䰟	jaI	ghon
484	昆	daI	kon
485	𥁕	haI	qon
486	門	DaA	mon
487	孫	QaI	son
488	尊	NaI	tson
489	存	PaI	dzon
490	敦	EaI	ton
